Character	Events
Firebird	Evolutionary War
Illuminati	Secret Invasion
Frog-Man	Spider-Island
Ghost Rider (Daniel Ketch)	Fear Itself
Ghost Rider (Daniel Ketch)	Shadowland
Secret Warriors	Dark Reign
Secret Warriors	Heroic Age
Betty Brant	Spider-Island
Nitro	Civil War
Blade	Civil War
Blade	Siege of Darkness
Lady Deathstrike	Maximum Security
X-Factor	Atlantis Attacks
X-Factor	Days of Future Present
X-Factor	Evolutionary War
X-Factor	Fatal Attractions
X-Factor	Inferno
X-Factor	Kings of Pain
X-Factor	Messiah CompleX
X-Factor	Mutant Massacre
Swordsman (Jaques Duquesne)	Chaos War
Darkstar	Maximum Security
Ultron	Acts of Vengeance!
Ultron	Age of Ultron
Ultron	Annihilation: Conquest
Ultron	Initiative
Ultron	Secret Wars
Ultron	Siege
Nick Fury	Acts of Vengeance!
Nick Fury	Dark Reign
Nick Fury	Enemy of the State
Nick Fury	Fatal Attractions
Nick Fury	Fear Itself
