Character	Series
Spiral (Rita Wayword)	Longshot (1985 - 1986)
Spiral (Rita Wayword)	New Mutants Classic Vol. 6 (2010 - Present)
Spiral (Rita Wayword)	Uncanny X-Men (1963 - 2011)
Spiral (Rita Wayword)	Wolverine (1988 - 2003)
Spiral (Rita Wayword)	X-Factor (1986 - 1998)
Spiral (Rita Wayword)	X-Factor Annual (1986 - Present)
Spiral (Rita Wayword)	X-Force (1991 - 2004)
Spiral (Rita Wayword)	X-Men (1991 - 2001)
Spiral (Rita Wayword)	X-Men Annual (1970 - 1991)
Spiral (Rita Wayword)	X-Men Legends Vol. 3: Art Adams Book I (2003)
Spiral (Rita Wayword)	X-Men Legends Vol. III: Arthur Adams Book I (2003)
Spiral (Rita Wayword)	X-Men Unlimited (1993 - 1999)
Spiral (Rita Wayword)	X-Men Visionaries: Jim Lee (2002)
Spiral (Rita Wayword)	X-Men: Lifedeath (2011 - Present)
Spiral (Rita Wayword)	X-Men: Lifedeath (2011 - Present)
Spiral (Rita Wayword)	X-Men: Longshot Premiere (2008 - Present)
Spiral (Rita Wayword)	X-Men: Mutant Genesis (2006)
Harpoon	Uncanny X-Men (1963 - 2011)
Harpoon	X-Factor (1986 - 1998)
Harpoon	X-Men: Mutant Massacre (1999)
Harpoon	X-Men: Old Soldiers (2004)
Lockjaw	Avengers (1963 - 1996)
Lockjaw	Avengers Vs. Pet Avengers (2010 - 2011)
Lockjaw	Earth X (1999)
Lockjaw	Earth X (New (2006)
Lockjaw	Essential Fantastic Four Vol. 4 (2005)
Lockjaw	Fantastic Four (1998 - 2012)
Lockjaw	Fantastic Four (1996 - 1997)
Lockjaw	Fantastic Four (1961 - 1998)
Lockjaw	Fantastic Four Annual (1963 - 1994)
Lockjaw	Fantastic Four/Inhumans (2007)
Lockjaw	Heroes Reborn: Fantastic Four (2006)
Lockjaw	Inhumans (2000)
Lockjaw	Marvel Comics Presents (1988 - 1995)
Lockjaw	Marvel Comics Presents: Wolverine Vol. 4 (2006)
Lockjaw	Marvel Masterworks: The Fantastic Four Vol. 7 (2004)
Lockjaw	Marvel Super Stars Magazine (2011 - Present)
Lockjaw	The Thing (1983 - 1986)
Lockjaw	X-Factor (1986 - 1998)
Lockjaw	X-Factor Annual (1986 - Present)
Lockjaw	X-Factor Visionaries: Peter David Vol. 1 (2005)
King Bedlam	X-Force (1991 - 2004)
Masters of Evil	Avengers (1963 - 1996)
Masters of Evil	Marvel Masterworks: The Avengers Vol. (2004)
Strong Guy	Exiles (2001 - 2008)
Strong Guy	Exiles Vol. II: A World Apart (1999)
Strong Guy	Incredible Hulk Annual (1976 - Present)
Strong Guy	X-Factor (1986 - 1998)
Strong Guy	X-Factor (2005 - Present)
Strong Guy	X-Factor Vol. 3: Many Lives of Madrox (2007)
Strong Guy	X-Factor: The Longest Night (2007)
The Hand	Deadpool (2008 - 2012)
The Hand	Mighty Avengers (2007 - 2010)
The Hand	New Avengers (2004 - 2010)
The Hand	Secret Warriors (2008 - 2011)
Big Wheel	Amazing Spider-Man (1963 - 1998)
Big Wheel	Superior Spider-Man (2013 - Present)
Reaper	X-Factor (1986 - 1998)
Reaper	X-Factor Visionaries: Peter David Vol. 2 (2007)
Reaper	X-Factor Visionaries: Peter David Vol. 4 (2008)
Reaper	X-Force (1991 - 2004)
Reaper	X-Men (1991 - 2001)
Medusa	Amazing Spider-Man (1963 - 1998)
Medusa	Avengers (2010 - 2012)
Medusa	Avengers (1963 - 1996)
Medusa	Avengers Academy (2010 - 2012)
Medusa	Beyond! (2007)
Medusa	Beyond! (2006)
Medusa	Earth X (1999)
Medusa	Earth X (New (2006)
Medusa	Essential Peter Parker, the Spectacular Spider-Man Vol. (2005)
Medusa	Fantastic Four (1996 - 1997)
Medusa	Fantastic Four (1998 - 2012)
Medusa	Fantastic Four (1961 - 1998)
Medusa	Fantastic Four/Inhumans (2007)
Medusa	Giant-Size Dracula (1974 - 1975)
Medusa	Heroes Reborn: Fantastic Four (2006)
Medusa	Inhuman (2014 - Present)
Medusa	Inhumans (2000)
Medusa	Marvel 1602: Fantastick Four (2007)
Medusa	Marvel 1602: Fantastick Four (2006 - 2007)
Medusa	Marvel Masterworks: The Amazing Spider-Man Vol. 7 - (2005)
Fantomex	New X-Men (2001 - 2004)
Fantomex	New X-Men (2006)
Fantomex	New X-Men Vol. III: New Worlds (1999)
Fantomex	Uncanny X-Force (2010 - 2012)
Fantomex	UNCANNY X-FORCE: THE APOCALYPSE SOLUTION PREMIERE HC (2011)
Makkari	Eternals (1976 - 1978)
Makkari	Eternals (2006 - 2007)
Makkari	Eternals by Jack Kirby (2006)
Makkari	Eternals by Neil Gaiman (2008)
Makkari	Eternals by Neil Gaiman (Book Market) (2007)
Famine	Uncanny X-Men (1963 - 2011)
Famine	X-Factor (1986 - 1998)
Famine	X-Factor Visionaries: Peter David Vol. 4 (2008)
Firestar (Ultimate)	Ultimate Comics X (2010 - 2011)
Firestar (Ultimate)	Ultimate Spider-Man (2000 - 2009)
Firestar (Ultimate)	Ultimate Spider-Man Vol. 20: Ultimate Spider-Man and His Amazing Friends (2008)
Sharon Carter	Age of Heroes (2011)
Sharon Carter	Avengers (1998 - 2004)
Sharon Carter	Avengers Assemble Vol. 3 (2006)
Sharon Carter	Cap Transport (2005 - 2006)
Sharon Carter	Captain America (1968 - 1996)
Sharon Carter	Captain America (2004 - 2011)
Sharon Carter	Captain America (1998 - 2002)
Sharon Carter	Captain America by Dan Jurgens Vol. 1 (2010 - Present)
Sharon Carter	Captain America: Captain America Lives! (2010)
Sharon Carter	Captain America: Red Menace Vol. 1 (2006)
Sharon Carter	Captain America: Red Menace Vol. 2 (2006)
Sharon Carter	Captain America: The Death of Captain America Vol. 1 (2008)
Sharon Carter	Captain America: The Death of Captain America Vol. 1 Premiere (2007)
Sharon Carter	Captain America: Winter Soldier Vol. 1 (2006)
Sharon Carter	Captain America: Winter Soldier Vol. 2 (2006)
Sharon Carter	Essential Captain America Vol. 6 (2011 - Present)
Sharon Carter	Fear Itself (2010 - 2011)
Sharon Carter	Fear Itself: The Fearless (2011 - 2012)
Sharon Carter	Onslaught Unleashed (2010 - 2011)
Rhino	Agent X (2002 - 2004)
Rhino	Amazing Spider-Man (1999 - 2013)
Rhino	Amazing Spider-Man (1963 - 1998)
Rhino	Amazing Spider-Man Family (2008 - 2009)
Rhino	Cable & Deadpool (2004 - 2008)
Rhino	Cable & Deadpool Vol. 7: Separation Anxiety (2007)
Rhino	Fantastic Four (1961 - 1998)
Rhino	Incredible Hulk (1962 - 1999)
Rhino	Marvel Masterworks: The Amazing Spider-Man Vol. V - 2nd Edition (1st) (2007)
Rhino	Marvel Two-in-One (1974 - 1983)
Rhino	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Rhino	Spider-Man Blue (2004)
Rhino	Spider-Man's Tangled Web (2001 - 2003)
Rhino	Spider-Man's Tangled Web Vol. I (1999)
Rhino	Spider-Man's Tangled Web Vol. III (2002)
Rhino	Spider-Man: Blue (2002 - 2003)
Rhino	Spider-Man: Origin Of The Species TPB (2011)
Rhino	Spider-Man’S Tangled Web Vol. 4 (2003)
Rhino	Webspinners: Tales of Spider-Man (1999 - 2000)
Rhino	X-Treme X-Men (2001 - 2004)
Amadeus Cho	Fear Itself: The Home Front (2010)
Amadeus Cho	Hercules: Fall of an Avenger (2010)
Amadeus Cho	Incredible Hercules (2008 - 2010)
Amadeus Cho	Incredible Hulks (2009 - 2011)
Amadeus Cho	Mighty Avengers (2007 - 2010)
Dark Phoenix	Clandestine Classic Premiere (2008)
Dark Phoenix	Essential X-Men Vol. 2 (All-New Edition) (2011 - Present)
Dark Phoenix	Iron Age: Alpha (2010 - 2011)
Dark Phoenix	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Dark Phoenix	Uncanny X-Men (1963 - 2011)
Dark Phoenix	X-Factor (1986 - 1998)
Dark Phoenix	X-Factor Annual (1986 - Present)
Dark Phoenix	X-Men (1991 - 2001)
Dark Phoenix	X-Men: Clan Destine (1996)
Dark Phoenix	X-Men: Mutant Genesis (2006)
Dark Phoenix	X-Men: The Dark Phoenix Saga (New Printing) (2006)
Magik (Illyana Rasputin)	Avengers VS X-Men (2012)
Magik (Illyana Rasputin)	Marvel Fanfare (1982 - 1992)
Magik (Illyana Rasputin)	Marvel Super-Heroes (1992 - 1993)
Magik (Illyana Rasputin)	Marvel Visionaries: Chris Claremont (2005)
Magik (Illyana Rasputin)	New Mutants (2009 - 2011)
Magik (Illyana Rasputin)	New Mutants (2010 - 2012)
Magik (Illyana Rasputin)	New Mutants (1983 - 1991)
Magik (Illyana Rasputin)	Uncanny X-Men (1963 - 2011)
Magik (Illyana Rasputin)	Uncanny X-Men (2013 - Present)
Magik (Illyana Rasputin)	X-Men: Hellbound (2010)
Magik (Illyana Rasputin)	X-Men: Omega (1995)
Magik (Illyana Rasputin)	X-Men: The Complete Age of Apocalypse Epic Book 4 (2006)
Valkyrie	Avengers (1963 - 1996)
Valkyrie	Defenders (1972 - 1986)
Valkyrie	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Valkyrie	Giant-Size Defenders (1974)
Valkyrie	Heralds (2010 - Present)
Valkyrie	Marvel Comics Presents (1988 - 1995)
Valkyrie	Marvel Super-Heroes (1967 - 1982)
Valkyrie	She-Hulk (2005 - 2009)
Valkyrie	Valkyrie (2010)
Valkyrie	Warlock Chronicles (1993 - 1994)
Valkyrie	X-Men Annual (1970 - 1991)
Valkyrie	X-Men Legends Vol. 3: Art Adams Book I (2003)
Valkyrie	X-Men Legends Vol. III: Arthur Adams Book I (2003)
Thunderball	Avengers (1998 - 2004)
Thunderball	Avengers Assemble Vol. 2 (2005)
Thunderball	Captain America (2004 - 2011)
Fenris	Journey Into Mystery (1952 - 1966)
Fenris	Marvel Masterworks: The Mighty Thor Vol. 3 (0000 - Present)
Fenris	Secret Warriors (2008 - 2011)
Fenris	What If? (1989 - 1998)
Amiko	Uncanny X-Men (1963 - 2011)
Amiko	Wolverine (1988 - 2003)
Owl	Marvel Team-Up (1972 - 1985)
Sif	Amazing Spider-Man (1999 - 2013)
Sif	Avengers (1998 - 2004)
Sif	Cap and Thor! Avengers (2010 - 2011)
Sif	Devil Dinosaur (1978)
Sif	Devil Dinosaur by Jack Kirby Omnibus (2007)
Sif	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Sif	Earth X (1999)
Sif	Earth X (New (2006)
Sif	Essential Thor Vol. 5 (2011 - Present)
Sif	Fear Itself 7.2: Thor (2011)
Sif	Iron Man (1998 - 2004)
Sif	Journey Into Mystery (2011 - Present)
Sif	Journey Into Mystery (1996 - 1998)
Sif	Marvel Masterworks: The Mighty Thor (2011 - Present)
Sif	Marvel Masterworks: The Mighty Thor (2011 - Present)
Sif	Marvel Masterworks: The Mighty Thor Vol. 5 (2006)
Sif	Marvel Masterworks: The Mighty Thor Vol. 7 (2008)
Sif	Marvel Masterworks: The Mighty Thor Vol. 7 (2008)
Sif	Sif (2010)
Sif	The Mighty Thor (2011 - 2012)
Mister Sinister	Age of Apocalypse: The Chosen (1995)
Mister Sinister	Cable (1993 - 2002)
Mister Sinister	Excalibur (1988 - 1998)
Mister Sinister	Exiles (2001 - 2008)
Mister Sinister	Exiles Vol. II: A World Apart (1999)
Mister Sinister	Official Handbook of the Marvel Universe (2004)
Mister Sinister	Uncanny X-Men (1963 - 2011)
Mister Sinister	Uncanny X-Men (2011 - 2012)
Mister Sinister	What If? (1989 - 1998)
Mister Sinister	X-Factor (1986 - 1998)
Mister Sinister	X-Factor Annual (1986 - Present)
Mister Sinister	X-Factor Visionaries: Peter David Vol. 1 (2005)
Mister Sinister	X-Force (1991 - 2004)
Mister Sinister	X-Men (1991 - 2001)
Mister Sinister	X-Men (2004 - 2007)
Mister Sinister	X-Men Chronicles (1995)
Mister Sinister	X-Men Forever 2 (2010 - 2011)
Mister Sinister	X-Men Forever 2 Vol. 2: Scream a Little Scream TPB (2011)
Mister Sinister	X-Men: Alpha (1994)
Mister Sinister	X-Men: Endangered Species (2008)
Howard The Duck	Fear Itself: Fearsome Four (2011)
Howard The Duck	Howard the Duck (1979 - 1981)
Howard The Duck	Howard the Duck (1976 - 1979)
Howard The Duck	Howard the Duck (2007 - 2008)
Howard The Duck	Howard the Duck (2008)
Howard The Duck	Howard the Duck (2002)
Howard The Duck	Howard the Duck Annual (1977)
Howard The Duck	Howard the Duck Holiday Special (1997)
Howard The Duck	Howard the Duck Omnibus (2008)
Howard The Duck	Howard the Duck: Media Duckling (2008)
Howard The Duck	Howard the Duck: The Movie (1986)
Howard The Duck	Marvel Zombies 5 (2011)
Howard The Duck	Super-Villain Team-Up (1975 - 1980)
Howard The Duck	What If? (1977 - 1984)
Howard The Duck	What If? (1989 - 1998)
Howard The Duck	X-Men (1991 - 2001)
Roland Deschain	Dark Tower: The Gunslinger - The Battle of Tull    (2011)
Roland Deschain	Dark Tower: The Gunslinger - The Journey Begins (2010)
Roland Deschain	Dark Tower: The Gunslinger - The Little Sisters of Eluria (2010 - Present)
Roland Deschain	Dark Tower: The Gunslinger Born (2007)
Roland Deschain	Dark Tower: The Gunslinger Born (2010 - Present)
Roland Deschain	Dark Tower: The Gunslinger Born Premiere (2007)
Hellfire Club	Astonishing X-Men (2004 - Present)
Hellfire Club	Astonishing X-Men by Joss Whedon & John Cassaday (2009 - Present)
Hellfire Club	Astonishing X-Men Vol. 3: Torn (2007)
Hellfire Club	Classic X-Men (1986 - 1990)
Hellfire Club	Uncanny X-Men (1963 - 2011)
Hellfire Club	What If? (1989 - 1998)
Hellfire Club	X-MEN FIRST CLASS: THE HIGH HAND (2011)
Hellfire Club	X-Men: Dream's End (2004)
Hellfire Club	X-Treme X-Men (2001 - 2004)
Hellfire Club	X-Treme X-Men Vol. 3: Schism (2003)
Pete Wisdom	New Excalibur (2005 - 2007)
Pete Wisdom	New Excalibur Vol. 1: Defenders of the Realm (2006)
Pete Wisdom	New Excalibur Vol. 2: Last Days of Camelot (2007)
Pete Wisdom	X-Force (1991 - 2004)
Rachel Grey	Excalibur (1988 - 1998)
Rachel Grey	Exiles (2001 - 2008)
Rachel Grey	Exiles Vol. 3: Out of Time (2003)
Rachel Grey	Fantastic Four (1961 - 1998)
Rachel Grey	Giant Size X-Men (1975)
Rachel Grey	Marvel Comics Presents (1988 - 1995)
Rachel Grey	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Rachel Grey	Marvel Masterworks: The X-Men Vol. 1 (2003)
Rachel Grey	Marvel Masterworks: The X-Men Vol.6 (2006)
Rachel Grey	Ms. Marvel Vol. 6: Ascension (2009 - Present)
Rachel Grey	The Cat (1972 - 1973)
Rachel Grey	Uncanny X-Men (1963 - 2011)
Rachel Grey	Uncanny X-Men - The New Age Vol. 4: End of Greys (2006)
Rachel Grey	Uncanny X-Men - The New Age Vol. 5: First Foursaken (2006)
Rachel Grey	Uncanny X-Men Omnibus Vol. 1 (2006)
Rachel Grey	Uncanny X-Men: Rise & Fall of the Shi'ar Empire (2007)
Rachel Grey	Wolverine (2003 - 2009)
Rachel Grey	Wolverine Saga (2009)
Rachel Grey	Wolverine: Enemy of the State - The Complete Edition (2006)
Rachel Grey	X-Factor (1986 - 1998)
Elsa Bloodstone	Legion of Monsters (2011 - 2012)
Iron Fist (Danny Rand)	Amazing Spider-Man (1999 - 2013)
Iron Fist (Danny Rand)	Avengers Academy (2010 - 2012)
Iron Fist (Danny Rand)	Avengers VS X-Men (2012)
Iron Fist (Danny Rand)	Avengers: We Are the Avengers (2010 - Present)
Iron Fist (Danny Rand)	Black Panther (1998 - 2003)
Iron Fist (Danny Rand)	Captain America (2004 - 2011)
Iron Fist (Danny Rand)	Captain America: The Death of Captain America Vol. 1 (2008)
Iron Fist (Danny Rand)	Captain America: The Death of Captain America Vol. 1 Premiere (2007)
Iron Fist (Danny Rand)	Civil War (2006 - 2007)
Iron Fist (Danny Rand)	Daredevil (1998 - 2011)
Iron Fist (Danny Rand)	Daredevil (1963 - 1998)
Iron Fist (Danny Rand)	Daredevil by Frank Miller & Klaus Janson (2007)
Iron Fist (Danny Rand)	Daredevil Vol. V: Out (2005)
Iron Fist (Danny Rand)	Deadpool Team-Up (2009 - 2011)
Iron Fist (Danny Rand)	Deadpool Team-Up Vol. 3 (2010 - Present)
Iron Fist (Danny Rand)	Defenders (1972 - 1986)
Iron Fist (Danny Rand)	Defenders (2011 - 2012)
Iron Fist (Danny Rand)	Essential Iron Fist Vol. 1 (2004)
Iron Fist (Danny Rand)	Fantastic Four Visionaries: John Byrne Vol. 6 (2006)
Iron Fist (Danny Rand)	Fear Itself (2010 - 2011)
Thena	Eternals (1976 - 1978)
Thena	Eternals by Jack Kirby (2006)
Dark X-Men	Dark X-Men (2009)
Dark X-Men	Uncanny X-Men (1963 - 2011)
Loki	All-Winners Squad: Band of Heroes (2011)
Loki	Alpha Flight (1983 - 1994)
Loki	Amazing Spider-Man (1999 - 2013)
Loki	Amazing Spider-Man Vol. 7: The Book of Ezekiel (2005)
Loki	Amazing Spider-Man Vol. 7: The Book of Ezekiel (2004)
Loki	Avengers (1996 - 1997)
Loki	Avengers (1963 - 1996)
Loki	Avengers Annual (1967 - 1994)
Loki	Avengers West Coast (1985 - 1994)
Loki	Avengers West Coast: Darker than Scarlet (2008)
Loki	Black Panther (1998 - 2003)
Loki	Cap and Thor! Avengers (2010 - 2011)
Loki	Deadpool (1997 - 2002)
Loki	Doctor Strange, Sorcerer Supreme (1988 - 1996)
Loki	Earth X (1999)
Loki	Earth X (New (2006)
Loki	Fear Itself (2010 - 2011)
Loki	Fear Itself 7.2: Thor (2011)
Loki	Heroes Reborn: Avengers (2006)
Loki	Heroes Reborn: Iron Man (2006)
Spider-Man (Noir)	Spider-Man Noir (2009 - Present)
Spider-Man (Noir)	Spider-Man Noir GN-TPB (Reprint) (2011 - Present)
Robbie Robertson	Alias (2003)
Robbie Robertson	Alias Omnibus (2006)
Robbie Robertson	Amazing Spider-Man (1999 - 2013)
Robbie Robertson	Amazing Spider-Man Annual (1964 - Present)
Robbie Robertson	Marvel Masterworks: The Amazing Spider-Man Vol. 7 - (2005)
Robbie Robertson	New Avengers (2004 - 2010)
Robbie Robertson	New Avengers Vol. 3: Secrets & Lies (2006)
Robbie Robertson	Soldier X (2002 - 2003)
Jean Grey (Ultimate)	Ultimate Marvel Team-Up (2001 - 2002)
Jean Grey (Ultimate)	Ultimate Marvel Team-Up Ultimate Collection (2006)
Jean Grey (Ultimate)	Ultimate War (2003)
Jean Grey (Ultimate)	Ultimate X-Men (2000 - 2009)
Jean Grey (Ultimate)	Ultimate X-Men MGC (2011)
Jean Grey (Ultimate)	Ultimate X-Men Ultimate Collection Book 1 (2006)
Jean Grey (Ultimate)	Ultimate X-Men Ultimate Collection Book 2 (2007)
Jean Grey (Ultimate)	Ultimate X-Men Vol. 14: Phoenix? (2006)
Jean Grey (Ultimate)	Ultimate X-Men Vol. 3: World Tour (2005)
Jean Grey (Ultimate)	Ultimate X-Men Vol. 4: Hellfire & Brimstone (2003 - Present)
Jean Grey (Ultimate)	Ultimate X-Men Vol. 5: Ultimate War (1999)
Jean Grey (Ultimate)	Ultimate X-Men Vol. 6: Return of the King (2003)
Jean Grey (Ultimate)	Ultimate X-Men Vol. I: The Tomorrow People (1999)
Jean Grey (Ultimate)	Ultimate X-Men Vol. II: Return to Weapon X (1999)
Jean Grey (Ultimate)	Ultimate X-Men Vol. III: World Tour (2002)
Jean Grey (Ultimate)	Ultimate X-Men Vol. VI: Return of the King (2003)
Sabretooth	Avengers 1959 (2011 - 2012)
Sabretooth	Clandestine Classic Premiere (2008)
Sabretooth	Essential Wolverine Vol. 4 (2006)
Sabretooth	Essential X-Men Vol. 6 (All-New Edition) (2011 - Present)
Sabretooth	Exiles (2001 - 2008)
Sabretooth	Exiles Vol. 15: Enemy of the Stars (2007)
Sabretooth	Hulk Vol. 1: Red Hulk (2009 - Present)
Sabretooth	Marvel Weddings (2005)
Sabretooth	New Avengers (2010 - 2012)
Sabretooth	Paradise X (2002 - 2003)
Sabretooth	Paradise X Vol. 1 (2007)
Sabretooth	Peter Parker, the Spectacular Spider-Man (1976 - 1998)
Sabretooth	Sabretooth (2004)
Sabretooth	Sabretooth: Open Season (2005)
Sabretooth	Thor (1966 - 1996)
Sabretooth	Thor Visionaries: Walter Simonson Vol. 4 (2007)
Sabretooth	Uncanny X-Force (2010 - 2012)
Sabretooth	Uncanny X-Men (1963 - 2011)
Sabretooth	Weapon X Vol. 1 (2003)
Sabretooth	Weapon X Vol. I (1999)
Retro Girl	Powers: Who Killed Retro Girl? (2011 - Present)
Sunfire	Avengers Assemble Vol. 4 (2007)
Sunfire	Cable (1993 - 2002)
Sunfire	Earth X (1999)
Sunfire	Earth X (New (2006)
Sunfire	Exiles (2001 - 2008)
Sunfire	Exiles Vol. 3: Out of Time (2003)
Sunfire	Exiles Vol. II: A World Apart (1999)
Sunfire	Iron Man (1968 - 1996)
Sunfire	Marvel Comics Presents (1988 - 1995)
Sunfire	Marvel Masterworks: The Uncanny X-Men Vol. (2005)
Sunfire	Marvel Masterworks: The X-Men Vol.6 (2006)
Sunfire	Maximum Security (2000 - 2001)
Sunfire	New Avengers Annual (2009 - Present)
Sunfire	New Mutants (1983 - 1991)
Sunfire	Official Handbook of the Marvel Universe (2004)
Sunfire	Paradise X (2002 - 2003)
Sunfire	Paradise X Vol. 1 (2007)
Sunfire	Shame Itself (2011)
Sunfire	Sub-Mariner (1968 - 1974)
Sunfire	Uncanny Avengers (2012 - Present)
Confederates of the Curious	Immortal Iron Fist (2006 - 2009)
Red Hulk	Amazing Spider-Man (1999 - 2013)
Red Hulk	Annihilators: Earthfall (2011)
Red Hulk	Avengers (2010 - 2012)
Red Hulk	Avengers By Brian Michael Bendis Vol. 2 Premiere HC (2011)
Red Hulk	Avengers VS X-Men (2012)
Red Hulk	Avengers: X-Sanction (2011 - 2012)
Red Hulk	Avenging Spider-Man (2011 - Present)
Red Hulk	Avenging Spider-Man Daily Bugle (2011)
Red Hulk	Hulk (2008 - 2012)
Red Hulk	Hulk Vol. 2: Red & Green (2009 - Present)
Red Hulk	Hulk Vol. 2: Red & Green (Reprint) (2009 - Present)
Red Hulk	Hulk Vol.6: World War Hulks (2010 - Present)
Red Hulk	Incredible Hulks (2009 - 2011)
Red Hulk	Marvel Point One (2011 - Present)
Red Hulk	New Avengers (2010 - 2012)
Red Hulk	RED HULK: SCORCHED EARTH TPB (2011)
Red Hulk	Spider-Girl (2010 - 2011)
Red Hulk	Uncanny X-Men (2011 - 2012)
Red Hulk	Venom (2011 - Present)
MVP	Avengers: The Initiative (2007 - 2010)
MVP	Avengers: The Initiative Annual (2007)
MVP	Secret Invasion: The Infiltration (2008)
Sentinels	Excalibur Visionaries: Alan Davis Vol. 3 TPB (2010 - Present)
Sentinels	Uncanny X-Men (1963 - 2011)
Sentinels	X-51 (1999 - 2000)
Sentinels	X-Factor Annual (1986 - Present)
Sentinels	X-Men Vs. Apocalypse Vol. 2: Ages of Apocalypse (2008)
Sentinels	X-Men: Schism (2011)
Leech	Amazing Spider-Man (1999 - 2013)
Leech	X-Factor Annual (1986 - Present)
Wolfsbane	Cable (2008 - 2010)
Wolfsbane	Earth X (1999)
Wolfsbane	Earth X (New (2006)
Wolfsbane	Excalibur (1988 - 1998)
Wolfsbane	Marvel Fanfare (1982 - 1992)
Wolfsbane	New Mutants (1983 - 1991)
Wolfsbane	New Mutants Classic Vol. 3 (2008)
Wolfsbane	New Mutants Classic Vol. 6 (2010 - Present)
Wolfsbane	Secret Wars II (1985)
Wolfsbane	Superior Spider-Man (2013 - Present)
Wolfsbane	Uncanny X-Men (1963 - 2011)
Wolfsbane	X-Factor (2005 - Present)
Wolfsbane	X-Factor (1986 - 1998)
Wolfsbane	X-Factor Annual (1986 - Present)
Wolfsbane	X-Factor Visionaries: Peter David Vol. 2 (2007)
Wolfsbane	X-Factor Vol. 3: Many Lives of Madrox (2007)
Wolfsbane	X-Factor: Scar Tissue Premiere HC (2011 - Present)
Wolfsbane	X-Factor: The Longest Night (2007)
Wolfsbane	X-Force (2008 - 2010)
Wolfsbane	X-Men Unlimited (1993 - 1999)
Dust	New X-Men (2004 - 2008)
Dust	New X-Men (2006)
Dust	New X-Men (2001 - 2004)
Dust	New X-Men Vol. III: New Worlds (1999)
Dust	New X-Men: Childhood's End Vol. 2 (2006)
Dust	Runaways (2008 - 2009)
The Enforcers	Amazing Spider-Man (1999 - 2013)
Spencer Smythe	Amazing Spider-Man (1999 - 2013)
Spencer Smythe	Human Torch (1940 - 1954)
Power Pack	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (2011)
Power Pack	ACTS OF VENGEANCE CROSSOVERS OMNIBUS (DM Only) (2011)
Power Pack	Avengers and Power Pack Assemble! (2006)
Power Pack	Avengers and Power Pack Assemble! (2006)
